field title,field author,field isbn,field isbn13,field asin,field num_pages,field avg_rating,field num_ratings,field date_pub,field date_pub_edition,field rating,field shelves,field review,field notes,field comments,field votes,field read_count,field date_started,field date_read,field date_added,field owned,field format,field actions
"title    
      The Devil On Horseback","author      Holt, Victoria",isbn    0449236250,isbn13    9780449236253,asin    0449236250,"num pages      
        302
        pp",avg rating    3.80,"num ratings    2,637","date pub      Jan 01, 1977",date pub edition      1977,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
        
Pleasant prose, interesting setting and characters, not the kind of romance I particularly like though","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Oct 05, 2024","date read
    
            
                  
      Oct 10, 2024","date added
    
    Oct 05, 2024",owned,"format
        Paperback","actions
        
          view (with text)"
"title    
      Drop Dead","author      Chu, Lily
        *",isbn,isbn13,asin    B0D6HGBMBL,"num pages      
        11
        pp",avg rating    3.49,"num ratings    7,124",date pub      unknown,"date pub edition      Aug 01, 2024","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Oct 05, 2024","date read
    
            
                  
      Oct 05, 2024","date added
    
    Oct 05, 2024",owned,"format
        Audible Audio","actions
        
          view"
"title    
      The Conservative Mind: From Burke to Eliot","author      Kirk, Russell",isbn    0895261715,isbn13    9780895261717,asin    0895261715,"num pages      
        534
        pp",avg rating    4.13,"num ratings    1,682",date pub      1953,"date pub edition      Sep 01, 2001",Jessica's rating,"my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Oct 2024","date read
    
            
                  
      not set","date added
    
    Oct 01, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Narcissism Epidemic: Living in the Age of Entitlement","author      Twenge, Jean M.",isbn    1416575987,isbn13    9781416575986,asin    1416575987,"num pages      
        352
        pp",avg rating    3.61,"num ratings    2,539","date pub      Apr 21, 2009","date pub edition      Jan 01, 2009","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 27, 2024","date read
    
            
                  
      Oct 2024","date added
    
    Sep 27, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Airs Above the Ground","author      Stewart, Mary",isbn    006074748X,isbn13    9780060747480,asin    006074748X,"num pages      
        384
        pp",avg rating    4.10,"num ratings    7,287",date pub      1965,"date pub edition      Nov 30, 2004","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 07, 2024","date read
    
            
                  
      Oct 2024","date added
    
    Sep 07, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Wildfire at Midnight","author      Stewart, Mary",isbn    0060093579,isbn13    9780060093570,asin    0060093579,"num pages      
        324
        pp",avg rating    4.00,"num ratings    6,259",date pub      1956,"date pub edition      Nov 25, 2003","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 06, 2024","date read
    
            
                  
      Sep 07, 2024","date added
    
    Sep 06, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      This Rough Magic","author      Stewart, Mary",isbn    0060747471,isbn13    9780060747473,asin    0060747471,"num pages      
        373
        pp",avg rating    4.06,"num ratings    10,081","date pub      Jan 01, 1964","date pub edition      Nov 30, 2004","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 06, 2024","date read
    
            
                  
      Sep 06, 2024","date added
    
    Sep 06, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Thunder on the Right","author      Stewart, Mary",isbn    0060747463,isbn13    9780060747466,asin    0060747463,"num pages      
        352
        pp",avg rating    3.83,"num ratings    4,585",date pub      1957,"date pub edition      Nov 30, 2004","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Sep 04, 2024","date read
    
            
                  
      Sep 05, 2024","date added
    
    Sep 04, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Black Coffee
        (Hercule Poirot, #7.5)","author      Osborne, Charles",isbn    0312970072,isbn13    9780312970079,asin    0312970072,"num pages      
        304
        pp",avg rating    3.60,"num ratings    28,113",date pub      Sep 1998,"date pub edition      Sep 15, 1999","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 31, 2024","date read
    
            
                  
      Sep 04, 2024","date added
    
    Aug 31, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Slow Dance","author      Rowell, Rainbow
        *",isbn    0063380196,isbn13    9780063380196,asin    0063380196,"num pages      
        400
        pp",avg rating    3.69,"num ratings    38,690","date pub      Jul 30, 2024","date pub edition      Jul 30, 2024","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 29, 2024","date read
    
            
                  
      Aug 31, 2024","date added
    
    Aug 29, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Defiant
        (Skyward, #4)","author      Sanderson, Brandon
        *",isbn    0593309715,isbn13    9780593309711,asin    0593309715,"num pages      
        420
        pp",avg rating    4.33,"num ratings    29,879","date pub      Nov 21, 2023","date pub edition      Nov 21, 2023","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 22, 2024","date read
    
            
                  
      Aug 24, 2024","date added
    
    Aug 22, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Cytonic
        (Skyward, #3)","author      Sanderson, Brandon
        *",isbn    0399555854,isbn13    9780399555855,asin    0399555854,"num pages      
        415
        pp",avg rating    4.06,"num ratings    58,430","date pub      Nov 23, 2021","date pub edition      Nov 23, 2021","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Aug 21, 2024","date read
    
            
                  
      Aug 22, 2024","date added
    
    Aug 21, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Starsight
        (Skyward, #2)","author      Sanderson, Brandon
        *",isbn    1473217903,isbn13    9781473217904,asin    1473217903,"num pages      
        461
        pp",avg rating    4.36,"num ratings    99,104","date pub      Nov 26, 2019","date pub edition      Nov 26, 2019","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jul 05, 2024","date read
    
            
                  
      Jul 09, 2024","date added
    
    Jul 05, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Moon-Spinners","author      Stewart, Mary",isbn    0060502959,isbn13    9780060502959,asin    0060502959,"num pages      
        400
        pp",avg rating    4.06,"num ratings    10,417",date pub      1962,"date pub edition      Nov 25, 2003","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 21, 2024","date read
    
            
                  
      Sep 04, 2024","date added
    
    Jun 21, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Detection Unlimited
        (Inspectors Hannasyde & Hemingway, #8)","author      Heyer, Georgette",isbn    0099493748,isbn13    9780099493747,asin    0099493748,"num pages      
        352
        pp",avg rating    3.79,"num ratings    2,898",date pub      1953,"date pub edition      Sep 07, 2006","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Jun 21, 2024","date read
    
            
                  
      Jun 21, 2024","date added
    
    Jun 21, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Ordeal by Innocence","author      Christie, Agatha",isbn    0312981627,isbn13    9780312981624,asin    0312981627,"num pages      
        288
        pp",avg rating    3.83,"num ratings    29,609","date pub      Nov 03, 1958","date pub edition      May 19, 2002","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 30, 2024","date read
    
            
                  
      May 31, 2024","date added
    
    May 30, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Divine Rivals
        (Letters of Enchantment, #1)","author      Ross, Rebecca
        *",isbn    1250857430,isbn13    9781250857439,asin    1250857430,"num pages      
        357
        pp",avg rating    4.17,"num ratings    583,518","date pub      Apr 04, 2023","date pub edition      Apr 04, 2023","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      May 29, 2024","date read
    
            
                  
      May 29, 2024


            
            
                  
      May 29, 2024","date added
    
    May 29, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Murder Is Easy
        (Superintendent Battle, #4)","author      Christie, Agatha",isbn    0312979827,isbn13    9780312979829,asin    0312979827,"num pages      
        277
        pp",avg rating    3.77,"num ratings    29,628","date pub      Jun 05, 1939","date pub edition      Jan 01, 2001","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 27, 2024","date read
    
            
                  
      May 27, 2024","date added
    
    May 27, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Monk","author      Lewis, Matthew",isbn    0140436030,isbn13    9780140436037,asin    0140436030,"num pages      
        431
        pp",avg rating    3.84,"num ratings    30,587",date pub      1796,"date pub edition      Jun 01, 1999","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      May 15, 2024","date read
    
            
                  
      Nov 07, 2024","date added
    
    May 15, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Ender’s Game
        (Ender's Saga, #1)","author      Card, Orson Scott",isbn    0812550706,isbn13    9780812550702,asin    0812550706,"num pages      
        324
        pp",avg rating    4.31,"num ratings    1,422,161","date pub      Jan 15, 1985","date pub edition      Sep 30, 2004","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 27, 2024","date read
    
            
                  
      Apr 27, 2024","date added
    
    Apr 27, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      The Last King of America: The Misunderstood Reign of George III","author      Roberts, Andrew",isbn    198487926X,isbn13    9781984879264,asin    198487926X,"num pages      
        784
        pp",avg rating    4.24,"num ratings    1,713","date pub      Oct 01, 2021","date pub edition      Nov 09, 2021","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 23, 2024","date read
    
            
                  
      May 29, 2024","date added
    
    Apr 23, 2024",owned,"format
        Hardcover","actions
        
          view"
"title    
      Evelina","author      Burney, Frances",isbn    0192840312,isbn13    9780192840318,asin    0192840312,"num pages      
        455
        pp",avg rating    3.70,"num ratings    17,843",date pub      1778,"date pub edition      Jul 18, 2002","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 11, 2024","date read
    
            
                  
      Apr 12, 2024","date added
    
    Apr 11, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Curtain
        (Hercule Poirot, #44)","author      Christie, Agatha",isbn    0425173747,isbn13    9780425173749,asin    0425173747,"num pages      
        215
        pp",avg rating    4.10,"num ratings    46,809","date pub      Jun 07, 1975","date pub edition      Sep 01, 2000","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 08, 2024","date read
    
            
                  
      Apr 09, 2024","date added
    
    Apr 08, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Third Girl
        (Hercule Poirot, #40)","author      Christie, Agatha",isbn    0007121105,isbn13    9780007121106,asin    0007121105,"num pages      
        365
        pp",avg rating    3.69,"num ratings    34,526",date pub      Nov 1966,date pub edition      2002,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 08, 2024","date read
    
            
                  
      Apr 08, 2024","date added
    
    Apr 08, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      The Mysteries of Udolpho","author      Radcliffe, Ann",isbn    0140437592,isbn13    9780140437591,asin    0140437592,"num pages      
        654
        pp",avg rating    3.42,"num ratings    16,210",date pub      1794,"date pub edition      Oct 01, 2001","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Apr 2024","date read
    
            
                  
      Apr 08, 2024","date added
    
    Apr 01, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      After the Funeral
        (Hercule Poirot, #33)","author      Christie, Agatha",isbn    0425173909,isbn13    9780425173909,asin    0425173909,"num pages      
        306
        pp",avg rating    3.91,"num ratings    44,990",date pub      Mar 1953,"date pub edition      Mar 01, 2000","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 24, 2024","date read
    
            
                  
      Mar 24, 2024","date added
    
    Mar 24, 2024",owned,"format
        Mass Market Paperback","actions
        
          view"
"title    
      Nine Coaches Waiting","author      Stewart, Mary",isbn    1556526180,isbn13    9781556526183,asin    1556526180,"num pages      
        352
        pp",avg rating    4.06,"num ratings    16,514",date pub      1958,"date pub edition      May 01, 2006","Jessica's rating
        it was amazing","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 24, 2024","date read
    
            
                  
      Mar 26, 2024","date added
    
    Mar 24, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Hallowe'en Party
        (Hercule Poirot, #41)","author      Christie, Agatha",isbn    0007120680,isbn13    9780007120680,asin    0007120680,"num pages      
        336
        pp",avg rating    3.57,"num ratings    93,839",date pub      Nov 1969,"date pub edition      Sep 03, 2001","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      Mar 22, 2024","date read
    
            
                  
      Mar 24, 2024


            
            
                  
      Mar 24, 2024","date added
    
    Mar 22, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Elephants Can Remember
        (Hercule Poirot, #42)","author      Christie, Agatha",isbn    0425067823,isbn13    9780425067826,asin    0425067823,"num pages      
        212
        pp",avg rating    3.65,"num ratings    45,066",date pub      Nov 1972,"date pub edition      Feb 01, 1984","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 21, 2024","date read
    
            
                  
      Mar 21, 2024","date added
    
    Mar 21, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Hickory Dickory Dock
        (Hercule Poirot, #34)","author      Christie, Agatha",isbn    1572705647,isbn13    9781572705647,asin    1572705647,"num pages      
        196
        pp",avg rating    3.76,"num ratings    35,694",date pub      1955,"date pub edition      Dec 07, 2006","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 21, 2024","date read
    
            
                  
      Mar 21, 2024","date added
    
    Mar 21, 2024",owned,"format
        Audio CD","actions
        
          view"
"title    
      One, Two, Buckle My Shoe
        (Hercule Poirot, #23)","author      Christie, Agatha",isbn    1572703857,isbn13    9781572703858,asin    1572703857,"num pages      
        0
        pp",avg rating    3.78,"num ratings    38,952",date pub      Nov 1940,"date pub edition      Mar 16, 2004","Jessica's rating
        liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 20, 2024","date read
    
            
                  
      Mar 20, 2024","date added
    
    Mar 20, 2024",owned,"format
        Audio CD","actions
        
          view"
"title    
      The Clocks
        (Hercule Poirot, #39)","author      Christie, Agatha",isbn    1572703938,isbn13    9781572703933,asin    1572703938,"num pages      
        8
        pp",avg rating    3.73,"num ratings    38,543","date pub      Nov 07, 1963","date pub edition      Jun 09, 2004","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 18, 2024","date read
    
            
                  
      Mar 20, 2024","date added
    
    Mar 18, 2024",owned,"format
        Audio Cassette","actions
        
          view"
"title    
      Taken at the Flood
        (Hercule Poirot, #29)","author      Christie, Agatha",isbn    0007121016,isbn13    9780007121014,asin    0007121016,"num pages      
        352
        pp",avg rating    3.75,"num ratings    27,237",date pub      1948,date pub edition      2002,"Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    1","date started
    
            
                  
      Mar 16, 2024","date read
    
            
                  
      Mar 16, 2024","date added
    
    Mar 16, 2024",owned,"format
        Paperback","actions
        
          view"
"title    
      Evil Under the Sun
        (Hercule Poirot, #24)","author      Christie, Agatha",isbn    1579126286,isbn13    9781579126285,asin    1579126286,"num pages      
        220
        pp",avg rating    3.98,"num ratings    80,820",date pub      Jun 1941,"date pub edition      Sep 01, 2006","Jessica's rating
        really liked it","my rating
        1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 stars
        
        
        
              add to shelves","review
            None","notes
        Notes are private!","comments
    0","votes
    0","# times read
    2","date started
    
            
                  
      not set


            
            
                  
      Mar 15, 2024","date read
    
            
                  
      Mar 15, 2024


            
            
                  
      Mar 15, 2024","date added
    
    Mar 15, 2024",owned,"format
        Hardcover","actions
        
          view"
